"","userAgeBracket","date","sessions","hits","bounceRate","users","avgSessionDuration"
"337","35-44","20160128",80,373,3.75,80,35.0625
"338","45-54","20160128",52,211,0,49,43.5769230769231
"339","55-64","20160128",39,129,2.56410256410256,39,16.7948717948718
"340","18-24","20160127",36,143,5.55555555555556,36,69.9722222222222
"341","25-34","20160127",120,562,5,115,53.85
"342","35-44","20160127",105,596,4.76190476190476,100,88.152380952381
"343","45-54","20160127",62,433,6.45161290322581,60,70.1612903225806
"344","55-64","20160127",61,178,6.55737704918033,60,47.5737704918033
"345","18-24","20160126",75,430,6.66666666666667,70,50.6133333333333
"346","25-34","20160126",132,627,8.33333333333333,129,58.9848484848485
"347","35-44","20160126",120,520,5,111,66.5416666666667
"348","45-54","20160126",89,328,11.2359550561798,78,47.5505617977528
"349","55-64","20160126",61,203,6.55737704918033,55,29.1311475409836
"350","65+","20160126",14,33,0,11,21.9285714285714
"351","18-24","20160125",57,371,15.7894736842105,48,71.3684210526316
"352","25-34","20160125",71,387,12.6760563380282,68,50.7323943661972
"353","35-44","20160125",67,372,16.4179104477612,64,58.3880597014925
"354","45-54","20160125",45,200,8.88888888888889,41,33.2666666666667
"355","55-64","20160125",23,104,0,20,27.3913043478261
"356","18-24","20160124",48,325,16.6666666666667,46,53.6458333333333
"357","25-34","20160124",47,281,8.51063829787234,42,41.4893617021277
"358","35-44","20160124",77,329,11.6883116883117,70,63.1428571428571
"359","45-54","20160124",48,243,12.5,46,58.9583333333333
"360","55-64","20160124",34,236,11.7647058823529,31,206.205882352941
"361","18-24","20160123",61,429,9.83606557377049,49,51.672131147541
"362","25-34","20160123",66,396,9.09090909090909,62,74.6969696969697
"363","35-44","20160123",68,301,13.2352941176471,66,50.7205882352941
"364","45-54","20160123",36,130,5.55555555555556,35,57.7222222222222
"365","55-64","20160123",21,87,23.8095238095238,19,57.6190476190476
"366","65+","20160123",11,74,18.1818181818182,11,160.363636363636
"367","18-24","20160122",47,380,8.51063829787234,39,63.1276595744681
"368","25-34","20160122",60,391,15,57,54.5333333333333
"369","35-44","20160122",78,397,10.2564102564103,73,61.1282051282051
"370","45-54","20160122",35,148,11.4285714285714,29,27.5142857142857
"371","55-64","20160122",16,53,31.25,16,92.625
"372","18-24","20160121",50,341,22,48,138.48
"373","25-34","20160121",84,721,8.33333333333333,76,149.452380952381
"374","35-44","20160121",83,707,10.8433734939759,74,164.060240963855
"375","45-54","20160121",65,334,13.8461538461538,59,115.830769230769
"376","55-64","20160121",31,181,9.67741935483871,28,124.483870967742
"377","18-24","20160120",67,592,5.97014925373134,58,73.0597014925373
"378","25-34","20160120",138,1634,10.8695652173913,121,214.927536231884
"379","35-44","20160120",120,1113,6.66666666666667,107,151.091666666667
"380","45-54","20160120",107,952,11.214953271028,93,103.981308411215
"381","55-64","20160120",54,343,7.40740740740741,48,68.7592592592593
"382","65+","20160120",20,72,0,16,90.7
"383","18-24","20160119",69,383,13.0434782608696,66,50.2028985507246
"384","25-34","20160119",86,922,11.6279069767442,76,161.953488372093
"385","35-44","20160119",94,580,8.51063829787234,85,76.2978723404255
"386","45-54","20160119",63,309,7.93650793650794,61,46.015873015873
"387","55-64","20160119",28,96,17.8571428571429,27,16.3571428571429
"388","18-24","20160118",45,233,11.1111111111111,42,59.8
"389","25-34","20160118",33,285,12.1212121212121,31,102.484848484848
"390","35-44","20160118",37,391,16.2162162162162,28,333.513513513513
"391","45-54","20160118",33,261,6.06060606060606,29,74.969696969697
"392","18-24","20160117",46,252,10.8695652173913,42,52.9782608695652
"393","25-34","20160117",26,170,19.2307692307692,19,50.4615384615385
"394","35-44","20160117",18,111,16.6666666666667,17,260.277777777778
"395","45-54","20160117",16,42,18.75,11,14.8125
"396","18-24","20160116",47,216,19.1489361702128,43,32.6595744680851
"397","25-34","20160116",32,224,15.625,27,62.78125
"398","35-44","20160116",25,132,4,21,48.92
"399","45-54","20160116",18,70,5.55555555555556,16,20.4444444444444
"400","55-64","20160116",12,30,16.6666666666667,11,64.3333333333333
"401","18-24","20160115",45,251,17.7777777777778,34,43.2222222222222
"402","25-34","20160115",33,244,6.06060606060606,29,75.3636363636364
"403","35-44","20160115",29,198,10.3448275862069,25,127.586206896552
"404","45-54","20160115",28,96,14.2857142857143,20,24.3214285714286
"405","55-64","20160115",11,40,9.09090909090909,11,29.0909090909091
"406","18-24","20160114",58,420,12.0689655172414,49,112.396551724138
"407","25-34","20160114",48,440,4.16666666666667,39,68.5625
"408","35-44","20160114",50,529,14,46,90.36
"409","45-54","20160114",24,158,12.5,23,99
"410","55-64","20160114",25,197,12,20,138.56
"411","18-24","20160113",70,504,15.7142857142857,63,106.542857142857
"412","25-34","20160113",47,407,12.7659574468085,44,75.1702127659574
"413","35-44","20160113",58,375,12.0689655172414,53,173.51724137931
"414","45-54","20160113",35,268,8.57142857142857,32,90
"415","55-64","20160113",17,83,11.7647058823529,16,75.8235294117647
"416","18-24","20160112",120,736,6.66666666666667,113,134.5
"417","25-34","20160112",104,623,11.5384615384615,96,81.75
"418","35-44","20160112",82,394,13.4146341463415,74,53.1219512195122
"419","45-54","20160112",61,369,14.7540983606557,54,60.7704918032787
"420","55-64","20160112",21,87,4.76190476190476,20,56.6666666666667
"421","18-24","20160111",119,490,5.04201680672269,107,60.9411764705882
"422","25-34","20160111",69,441,7.2463768115942,64,70.4202898550725
"423","35-44","20160111",63,305,14.2857142857143,55,72.7777777777778
"424","45-54","20160111",43,332,32.5581395348837,35,36.953488372093
"425","55-64","20160111",17,84,11.7647058823529,16,44.2941176470588
"426","18-24","20160110",116,500,3.44827586206897,111,47.1206896551724
"427","25-34","20160110",44,413,2.27272727272727,42,110.931818181818
"428","35-44","20160110",57,268,15.7894736842105,55,82.9824561403509
"429","45-54","20160110",23,67,17.3913043478261,22,19.5652173913043
"430","18-24","20160109",91,402,6.59340659340659,85,54.4615384615385
"431","25-34","20160109",53,207,13.2075471698113,45,22.377358490566
"432","35-44","20160109",50,259,14,45,44.52
"433","45-54","20160109",31,148,6.45161290322581,29,52.3225806451613
"434","55-64","20160109",12,45,16.6666666666667,11,34.25
"435","18-24","20160108",127,598,11.8110236220472,119,48.2047244094488
"436","25-34","20160108",118,582,4.23728813559322,108,84.3813559322034
"437","35-44","20160108",130,671,9.23076923076923,125,61.4692307692308
"438","45-54","20160108",103,585,4.85436893203883,92,54.0582524271845
"439","55-64","20160108",50,170,4,47,28.88
"440","18-24","20160107",117,734,8.54700854700855,108,93.3418803418803
"441","25-34","20160107",168,874,7.73809523809524,153,82.5238095238095
"442","35-44","20160107",193,770,10.3626943005181,175,56.2849740932642
"443","45-54","20160107",130,598,7.69230769230769,124,78.3692307692308
"444","55-64","20160107",39,149,10.2564102564103,37,37.2564102564103
"445","65+","20160107",21,116,14.2857142857143,20,87.2857142857143
"446","18-24","20160106",47,301,25.531914893617,40,47.6808510638298
"447","25-34","20160106",56,326,14.2857142857143,48,35.4642857142857
"448","35-44","20160106",49,206,12.2448979591837,41,42.530612244898
"449","45-54","20160106",22,150,22.7272727272727,21,74.0454545454545
"450","55-64","20160106",19,87,21.0526315789474,16,111.473684210526
"451","18-24","20160105",49,198,16.3265306122449,42,83.5714285714286
